x,y
0.000000,0.000000
48.000000,0.000000
48.000000,60.000000
24.000000,60.000000
24.000000,0.000000
72.000000,0.000000
240.000000,0.000000
240.000000,120.000000
204.000000,180.000000
36.000000,180.000000
0.000000,120.000000
72.000000,120.000000
36.000000,180.000000
72.000000,120.000000
240.000000,120.000000
96.000000,120.000000
60.000000,180.000000
84.000000,180.000000
120.000000,120.000000
144.000000,120.000000
108.000000,180.000000
132.000000,180.000000
168.000000,120.000000
192.000000,120.000000
156.000000,180.000000
180.000000,180.000000
216.000000,120.000000
240.000000,120.000000
0.000000,120.000000
0.000000,0.000000
72.000000,0.000000
72.000000,120.000000
240.000000,120.000000
240.000000,24.000000
132.000000,24.000000
132.000000,60.000000
180.000000,60.000000
180.000000,24.000000
72.000000,24.000000
72.000000,0.000000
